42|Brussels|Belgium|2385000|0|0|0|0|0|0|0|0|0|0|70|66|210|561|964|2385|4.3676|50.8370|Brussels
43|Bonn|Germany|570000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|201|570|7.0998|50.7346|Bonn
44|Lille|France|1020000|0|0|0|0|0|0|0|0|0|0|0|55|99|289|670|1020|3.0629|50.6321|Lille
45|Liège|Belgium|750000|0|0|0|0|0|0|0|0|0|0|0|0|92|295|450|750|5.5694|50.6225|Liège
46|Kiev|Ukraine|2900000|0|0|0|45|50|0|0|0|0|0|0|0|0|300|800|2900|30.5021|50.4482|Kiev
47|Frankfurt|Germany|1855000|0|0|0|0|0|0|0|0|0|0|0|0|72|350|680|1855|8.6682|50.1300|Frankfurt
48|Prague|Czech Republic|1325000|0|0|0|0|0|0|40|95|70|110|100|77|117|474|951|1325|14.4565|50.1059|Prague
49|Kraków|Poland|828000|0|0|0|0|0|0|15|20|30|40|60|90|100|108|347|828|19.9451|50.0622|Kraków
50|Winnipeg|Canada|625304|0|0|0|0|0|0|0|0|0|0|0|0|0|0|292|625|-97.1244|49.9212|Winnipeg
51|Karaganda|Kazakhstan|614000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|270|614|73.2026|49.8792|Karaganda
52|Lviv|Ukraine|790000|0|0|0|0|0|0|0|0|0|0|0|0|71|159|300|790|24.0345|49.8373|Lviv
53|Brno|Czech Republic|450000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|272|450|16.6162|49.2030|Brno
54|Paris|France|9775000|0|0|0|0|90|110|228|280|185|245|530|547|1314|3330|5900|9775|2.4328|48.8816|Paris
55|Volgograd|Russia|1360000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1360|44.4836|48.7102|Volgograd
56|Strasbourg|France|400000|0|0|0|0|0|0|0|0|0|0|0|0|75|172|230|400|7.7313|48.5795|Strasbourg
57|Linz|Austria|335000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|335|14.2939|48.2976|Linz
58|Vienna|Austria|1875000|0|0|0|0|0|0|0|0|0|0|105|231|426|1698|1755|1875|16.3210|48.2021|Vienna
59|Munich|Germany|1955000|0|0|0|0|0|0|0|0|0|0|0|0|115|499|870|1955|11.5430|48.1410|Munich
60|Donetsk|Ukraine|2200000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|500|2200|37.7371|48.0401|Donetsk
61|Ulaanbaatar|Mongolia|548400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|548|106.9124|47.9286|Ulaanbaatar
62|Budapest|Hungary|2565000|0|0|0|0|0|0|0|0|0|0|0|54|156|785|1500|2565|19.0942|47.5146|Budapest
63|Qiqihar|China|1150000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1150|123.9650|47.3440|Qiqihar
64|Innsbruck|Austria|185000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|185|11.3500|47.2655|Innsbruck
65|Rostov-on-Don|Russia|1165000|0|0|0|0|0|0|0|0|0|0|0|0|0|142|500|1165|39.6880|47.2321|Rostov-on-Don
66|Nantes|France|464857|0|0|0|0|0|0|0|0|0|0|0|70|95|151|225|465|-1.5616|47.2194|Nantes
67|Graz|Austria|325000|0|0|0|0|0|0|0|0|0|0|0|0|0|138|224|325|15.4311|47.0649|Graz
68|Bern|Switzerland|298800|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|299|7.4457|46.9482|Bern
69|Quebec|Canada|603267|0|0|0|0|0|0|0|0|0|0|0|0|0|76|216|603|-71.2449|46.8021|Quebec
70|Odessa|Ukraine|1185000|0|0|0|0|0|0|0|0|0|0|0|0|71|449|600|1185|30.6839|46.5722|Odessa
71|Harbin|China|2670000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|760|2670|126.6226|45.7552|Harbin
72|Lyon|France|1275000|50|0|0|0|0|0|0|0|0|0|97|110|220|508|646|1275|4.8554|45.7471|Lyon
73|Montreal|Canada|2921357|0|0|0|0|0|0|0|0|0|0|0|0|0|325|1242|2921|-73.6535|45.5410|Montreal
74|Milan|Italy|3750000|30|0|0|0|42|60|60|80|89|107|113|122|182|491|1400|3750|9.1905|45.4734|Milan
75|Venice|Italy|420000|0|0|0|45|55|70|110|110|115|151|143|146|141|171|354|420|12.3707|45.4248|Venice
76|Ottawa|Canada|819263|0|0|0|0|0|0|0|0|0|0|0|0|0|73|258|819|-75.6507|45.3742|Ottawa
77|Turin|Italy|1550000|0|0|0|0|0|0|0|0|0|0|0|57|125|330|765|1550|7.6664|45.0749|Turin
78|Minneapolis|United States|2012400|0|0|0|0|0|0|0|0|0|0|0|0|0|366|985|2012|-93.3078|44.9242|Minneapolis
79|Bordeaux|France|640012|0|0|0|0|0|0|0|0|0|0|0|92|142|304|427|640|-0.5995|44.8415|Bordeaux
80|Belgrade|Serbia|1400000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|445|1400|20.4126|44.7997|Belgrade
81|Bucharest|Romania|2250000|0|0|0|0|0|0|0|0|0|60|0|0|95|292|1100|2250|26.1230|44.4305|Bucharest
82|Changchun|China|1740000|0|0|0|0|0|0|0|0|0|85|0|0|100|0|630|1740|125.3127|43.8813|Changchun
83|Jilin|China|1170000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1170|126.5671|43.8502|Jilin_City
84|Ürümqi|China|1040000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1040|87.5865|43.7827|Ürümqi
85|Florence|Italy|640000|0|0|0|0|0|0|60|61|70|65|68|61|107|203|384|640|11.2077|43.7816|Florence
86|Toronto|Canada|3427168|0|0|0|0|0|0|0|0|0|0|0|0|0|205|970|3427|-79.4126|43.7208|Toronto
87|Toulouse|France|541271|0|0|0|0|0|0|0|0|0|0|0|0|75|127|235|541|1.4380|43.6000|Toulouse
88|Bilbao|Spain|985000|0|0|0|0|0|0|0|0|0|0|0|0|0|83|320|985|-2.9738|43.2822|Bilbao
89|Almaty|Kazakhstan|1190000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|280|1190|76.9126|43.2551|Almaty
90|Rochester|United States|816200|0|0|0|0|0|0|0|0|0|0|0|0|0|162|409|816|-77.6356|43.2105|Rochester,_New_York
91|Milwaukee|United States|1374700|0|0|0|0|0|0|0|0|0|0|0|0|0|285|823|1375|-87.9907|43.0679|Milwaukee
92|Sapporo|Japan|1900000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|315|1900|141.3455|43.0553|Sapporo
93|Buffalo|United States|1483000|0|0|0|0|0|0|0|0|0|0|0|0|0|360|798|1483|-78.8484|42.8987|Buffalo,_New_York
94|Sofia|Bulgaria|1205000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|437|1205|23.3319|42.7073|Sofia
95|Detroit|United States|4691900|0|0|0|0|0|0|0|0|0|0|0|0|0|297|2776|4692|-83.0789|42.3943|Detroit
96|Boston|United States|3971700|0|0|0|0|0|0|0|0|0|0|0|0|209|1075|2233|3972|-71.1026|42.3753|Boston
97|Fushun|China|1270000|0|0|0|0|0|0|0|0|0|0|0|124|175|200|235|1270|123.9056|41.8592|Fushun
98|Chicago|United States|7717100|0|0|0|0|0|0|0|0|0|0|0|0|0|1717|4906|7717|-87.6413|41.8265|Chicago
99|Shenyang|China|3840000|0|0|0|0|0|0|0|0|0|0|0|0|0|160|850|3840|123.3831|41.8022|Shenyang
100|Tbilisi|Georgia|1460000|0|0|0|0|0|80|0|0|0|0|0|0|0|175|585|1460|44.7831|41.7218|Tbilisi
101|Zaragoza|Spain|575317|0|0|0|0|0|0|0|0|0|0|0|55|60|99|264|575|-0.8782|41.6513|Zaragoza
102|Cleveland|United States|2218400|0|0|0|0|0|0|0|0|0|0|0|0|0|385|1372|2218|-81.7275|41.3907|Cleveland
103|Tirana|Albania|210800|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|211|19.8318|41.3317|Tirana
104|Anshan|China|1300000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1300|122.9770|41.1152|Anshan
105|Istanbul|Turkey|5750000|36|400|250|300|200|150|100|175|200|700|700|570|785|900|1035|5750|29.0061|41.0660|Istanbul
106|Salt Lake City|United States|682400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|224|682|-111.8922|40.6939|Salt_Lake_City
107|Pittsburgh|United States|2218800|0|0|0|0|0|0|0|0|0|0|0|0|69|562|1310|2219|-79.9971|40.4972|Pittsburgh
108|Madrid|Spain|4650000|0|0|0|0|0|0|0|0|0|80|105|182|216|539|1527|4650|-3.6910|40.4422|Madrid
109|Baku|Azerbaijan|2020000|0|0|0|0|0|0|0|0|0|0|0|0|0|179|840|2020|49.8162|40.3243|Baku
110|Yerevan|Armenia|1315000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|315|1315|44.5327|40.2080|Yerevan
111|Columbus|United States|963600|0|0|0|0|0|0|0|0|0|0|0|0|0|125|430|964|-82.9927|40.0446|Columbus,_Ohio
112|Ankara|Turkey|2400000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|286|2400|32.8533|39.9293|Ankara
113|Philadelphia|United States|5208600|0|0|0|0|0|0|0|0|0|0|0|68|426|1418|2900|5209|-75.2182|39.9276|Philadelphia
114|Beijing|China|6450000|40|0|0|50|50|130|401|150|672|706|650|1100|1648|1100|2031|6450|116.3880|39.9062|Beijing
115|Erzurum|Turkey|246053|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|246|41.2918|39.9045|Erzurum
116|Samarkand|Uzbekistan|366000|0|0|75|75|40|60|90|130|60|60|0|0|0|0|0|366|66.9476|39.6576|Samarkand
117|Tangshan|China|1060000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1060|118.1802|39.6154|Tangshan
118|Valencia|Spain|1270000|0|0|0|0|0|0|0|50|55|61|65|60|100|213|534|1270|-0.3674|39.4709|Valencia
119|Baltimore|United States|1960400|0|0|0|0|0|0|0|0|0|0|0|0|169|508|1159|1960|-76.6184|39.3219|Baltimore
120|Cagliari|Italy|305000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|305|9.1089|39.2251|Cagliari
121|Cincinnati|United States|1480100|0|0|0|0|0|0|0|0|0|0|0|0|130|417|808|1480|-84.4770|39.1480|Cincinnati
122|Tianjin|China|4880000|60|0|0|50|0|0|0|0|0|0|70|130|195|700|1795|4880|117.1852|39.1284|Tianjin
123|Pyongyang|North Korea|1600000|0|60|0|50|40|0|0|0|0|0|0|0|0|0|400|1600|125.7575|39.0285|Pyongyang
124|Kansas City|United States|1272400|0|0|0|0|0|0|0|0|0|0|0|0|0|215|694|1272|-94.6266|38.9941|Kansas_City_metropolitan_area
125|Washington D.C.|United States|3221400|0|0|0|0|0|0|0|0|0|0|0|0|0|278|1285|3221|-76.9538|38.8909|Washington,_D.C.
126|St. Louis|United States|2203000|0|0|0|0|0|0|0|0|0|0|0|0|78|614|1366|2203|-90.3420|38.6389|St._Louis
127|Sacramento|United States|866400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|206|866|-121.4227|38.5670|Sacramento,_California
128|Tabriz|Iran|971482|0|0|0|0|0|90|125|150|250|80|75|60|70|175|274|971|46.2901|38.0810|Tabriz
129|Shijiazhuang|China|1190000|0|0|0|90|85|0|0|0|0|0|0|0|0|0|0|1190|114.5597|38.0771|Shijiazhuang
130|Ashgabat|Turkmenistan|398000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|398|58.3901|37.9504|Ashgabat
131|Taiyuan|China|1660000|0|0|0|0|0|0|48|51|61|79|0|0|0|0|0|1660|112.5517|37.8931|Taiyuan
132|Seoul|South Korea|15850000|0|0|0|0|0|0|0|100|125|110|158|194|183|195|1550|15850|126.9352|37.5424|Seoul
133|Seville|Spain|945000|40|60|70|90|125|150|90|60|46|126|80|96|117|148|383|945|-5.9708|37.3726|Seville
134|Adana|Turkey|777554|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|778|35.3244|37.0000|Adana
135|Norfolk|United States|795600|0|0|0|0|0|0|0|0|0|0|0|0|0|0|385|796|-76.2686|36.8793|Norfolk,_Virginia
136|Tunis|Tunisia|1225000|0|0|0|0|0|0|50|50|65|60|69|90|90|156|405|1225|10.1660|36.8188|Tunis
137|Zibo|China|830000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|830|118.0620|36.7915|Zibo
138|Jinan|China|1460000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1460|116.9671|36.6555|Jinan
139|Mosul|Iraq|570926|0|0|0|0|0|50|0|0|0|0|0|0|0|0|0|571|43.1371|36.3356|Mosul
140|Mashhad|Iran|1463508|0|0|0|0|0|0|0|0|0|0|0|0|0|0|210|1464|59.5969|36.2901|Mashhad
141|Aleppo|Syria|1216000|0|0|0|40|50|45|45|75|67|61|67|72|90|130|362|1216|37.1593|36.2155|Aleppo
142|Lanzhou|China|1270000|0|0|0|0|0|0|0|0|0|0|0|90|100|110|320|1270|103.5996|36.1134|Lanzhou
143|Daegu|South Korea|2206000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|328|2206|128.5914|35.8635|Daegu
144|Tehran|Iran|6400000|0|0|0|0|0|0|0|0|0|0|0|0|70|150|989|6400|51.4477|35.7745|Tehran
145|Tokyo|Japan|23620000|0|0|0|0|0|0|0|0|0|0|0|0|0|1497|7000|23620|139.8092|35.6831|Tokyo
146|Kawasaki|Japan|1088624|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1089|139.7272|35.5046|Kawasaki,_Kanagawa
147|Oklahoma City|United States|742000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|264|742|-97.5303|35.4896|Oklahoma_City
148|Yokohama|Japan|2992926|0|0|0|0|0|0|0|0|0|0|0|0|0|245|0|2993|139.6197|35.4374|Yokohama
149|Charlotte|United States|479200|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|479|-80.8357|35.2058|Charlotte,_North_Carolina
150|Busan|South Korea|3800000|0|0|0|0|0|0|0|0|0|0|0|0|0|73|498|3800|129.0547|35.1579|Busan
151|Nagoya|Japan|4800000|0|0|0|0|0|0|0|0|0|0|65|92|93|260|1030|4800|136.9206|35.1549|Nagoya
152|Memphis|United States|852900|0|0|0|0|0|0|0|0|0|0|0|0|0|102|406|853|-90.0003|35.1147|Memphis,_Tennessee
153|Kyoto|Japan|1479218|0|0|200|175|175|100|40|150|200|300|350|377|323|362|1101|1479|135.7548|35.0091|Kyoto
154|Zhengzhou|China|1170000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1170|113.6418|34.7577|Zhengzhou
155|Homs|Syria|431000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|244|431|36.7182|34.7339|Homs
156|Luoyang|China|740000|420|200|300|50|40|50|0|0|0|0|0|0|0|0|0|740|112.3612|34.6713|Luoyang
157|Osaka|Japan|15040000|0|0|0|0|0|0|0|0|0|360|380|383|320|970|3480|15040|135.5191|34.6355|Osaka
158|Kabul|Afghanistan|1179000|0|0|0|0|0|0|0|0|0|0|0|50|40|60|214|1179|69.1368|34.5309|Kabul
159|Hiroshima|Japan|1575000|0|0|0|0|0|0|0|0|0|0|0|0|0|118|258|1575|132.4448|34.3776|Hiroshima
160|Xi'an|China|2050000|90|100|0|50|45|75|118|115|127|138|167|224|275|250|559|2050|108.8834|34.2657|Xi'an
161|Fes|Morocco|535000|0|0|0|90|125|200|150|125|130|100|80|80|85|108|200|535|-4.9955|34.0436|Fez,_Morocco
162|Atlanta|United States|1962500|0|0|0|0|0|0|0|0|0|0|0|0|0|90|507|1962|-84.3492|33.7957|Atlanta
163|Islamabad|Pakistan|204364|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|204|73.0605|33.7182|Islamabad
164|Rawalpindi|Pakistan|836000|0|0|0|0|0|0|0|0|0|0|0|0|0|86|231|836|73.0437|33.6058|Rawalpindi
165|Damascus|Syria|1850000|0|50|70|110|90|100|64|74|60|60|70|90|108|165|335|1850|36.3135|33.5193|Damascus
166|Phoenix|United States|1482400|0|0|0|0|0|0|0|0|0|0|0|0|0|0|210|1482|-112.1103|33.5090|Phoenix,_Arizona
167|Baghdad|Iraq|3841268|0|400|700|125|150|100|40|90|0|0|60|80|60|145|579|3841|44.3978|33.3340|Baghdad
168|Dallas|United States|2727300|0|0|0|0|0|0|0|0|0|0|0|0|0|0|514|2727|-96.7684|32.7941|Dallas
169|Isfahan|Iran|986753|0|60|90|100|100|70|62|80|90|100|350|50|67|80|204|987|51.6792|32.6514|Isfahan
170|Nanjing|China|2290000|90|150|55|70|67|130|95|487|147|194|140|50|0|270|1020|2290|118.7689|32.0484|Nanjing
171|Amman|Jordan|1250000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1250|35.9329|31.9494|Amman
172|Amritsar|India|594844|0|0|0|0|0|0|0|0|0|0|0|0|101|159|320|595|74.8716|31.6309|Amritsar
173|Lahore|Pakistan|3025000|0|0|0|0|50|0|0|0|0|0|0|0|94|200|600|3025|74.3407|31.5451|Lahore
174|Faisalabad|Pakistan|1104209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1104|73.0835|31.4090|Faisalabad
175|Shanghai|China|9300000|0|0|0|0|0|70|0|0|0|0|0|90|185|619|5406|9300|121.4727|31.2479|Shanghai
176|Chengdu|China|1810000|70|60|75|40|40|46|54|50|85|100|90|97|200|300|647|1810|104.0713|30.6701|Chengdu
177|Wuhan|China|3490000|70|60|84|70|65|80|85|90|64|75|110|160|185|340|1150|3490|114.2792|30.5725|Wuhan
178|Basra|Iraq|616700|0|0|100|50|60|50|0|0|0|0|0|60|0|0|0|617|47.7609|30.5035|Basra
179|Hangzhou|China|1270000|0|0|70|80|90|255|432|235|250|270|303|387|434|350|517|1270|120.1651|30.2526|Hangzhou
180|Cairo|Egypt|9300000|0|0|90|135|150|200|400|360|400|200|175|186|256|595|2750|9300|31.2508|30.0779|Cairo
