time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-05T23:50:33.310Z,35.7396667,-117.5616667,2.34,2.02,ml,27,69,0.08131,0.17,ci,ci38456175,2019-07-06T00:01:06.700Z,"15km WSW of Searles Valley, CA",earthquake,0.24,0.59,0.119,25,automatic,ci,ci
2019-07-05T23:45:11.440Z,38.8046684,-122.7881699,0.26,1.6,md,25,63,,0.05,nc,nc73208266,2019-07-05T23:59:02.572Z,"4km NW of The Geysers, CA",earthquake,0.18,0.41,0.14,8,automatic,nc,nc
2019-07-05T23:43:58.570Z,35.6653328,-117.4696655,8.12,1.58,ml,28,72,0.0789,0.13,ci,ci38456143,2019-07-05T23:47:48.254Z,"13km SSW of Searles Valley, CA",earthquake,0.32,0.97,0.311,9,automatic,ci,ci
2019-07-05T23:40:57.990Z,35.6816667,-117.5036667,1.91,1.74,ml,26,83,0.1008,0.17,ci,ci38456127,2019-07-05T23:51:53.690Z,"13km SW of Searles Valley, CA",earthquake,0.27,0.57,0.154,26,automatic,ci,ci
2019-07-05T23:38:43.807Z,69.0422,-144.4749,0,2.7,ml,,,,0.94,ak,ak0198jzvra6,2019-07-05T23:52:42.040Z,"110km NNE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-05T23:37:24.480Z,35.6973333,-117.4796667,0.7,1.66,ml,22,72,0.1115,0.17,ci,ci38456111,2019-07-05T23:41:06.222Z,"10km SW of Searles Valley, CA",earthquake,0.3,0.6,0.11,25,automatic,ci,ci
2019-07-05T23:36:01.700Z,35.7248333,-117.5495,1.54,1.67,ml,20,90,0.09876,0.18,ci,ci38456103,2019-07-05T23:39:43.213Z,"14km WSW of Searles Valley, CA",earthquake,0.34,0.55,0.121,6,automatic,ci,ci
2019-07-05T23:35:25.800Z,35.5716667,-117.6168333,3.84,2.41,ml,26,57,0.1062,0.16,ci,ci38456095,2019-07-05T23:39:59.542Z,"8km SE of Ridgecrest, CA",earthquake,0.25,0.85,0.114,27,automatic,ci,ci
2019-07-05T23:35:10.410Z,35.751,-117.566,1.46,2.05,ml,28,85,0.0695,0.16,ci,ci38456087,2019-07-05T23:45:46.280Z,"15km W of Searles Valley, CA",earthquake,0.23,0.46,0.138,24,automatic,ci,ci
2019-07-05T23:33:56.650Z,35.6841667,-117.499,2.01,1.68,ml,15,104,0.102,0.17,ci,ci38456079,2019-07-05T23:37:44.204Z,"13km SW of Searles Valley, CA",earthquake,0.35,0.54,0.038,9,automatic,ci,ci
